transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Bus,2022/11/4,ECU,riobamba,Terminal,2022/11/4,ECU,riobamba,Central,1,5,0.3,USD,-,,
Bus,2022/11/5,ECU,riobamba,Terminal,2022/11/5,ECU,arausi,Central,96,120,2.5,USD,-,,.
Bus,2022/11/6,ECU,arausi,Central,2022/11/6,ECU,Cuenca,Terminal,171,240,7,USD,-,,
Taxi,2022/11/8,ECU,Cuenca,Inn,2022/11/8,ECU,Cuenca,Terminal,2.6,5,1.5,USD,-,,
Bus,2022/11/8,ECU,Cuenca,Terminal,2022/11/8,ECU,huaqulias,Central,289,300,9,USD,-,,
Taxi,2022/11/8,ECU,huaqulias,Central,2022/11/8,ECU,huaqulias,Border,10,15,3,USD,-,,
Taxi,2022/11/8,ECU,huaqulias,Border,2022/11/8,PER,huaqulias,Border,5,10,4,USD,-,,
Taxi,2022/11/8,PER,huaqulias,Border,2022/11/8,PER,Tumbes,Central,30,45,13,USD,-,,
Taxi,2022/11/8,PER,Tumbes,Central,2022/11/8,PER,Tumbes,Inn,12,20,7,USD,-,,
Bus,2022/11/9,PER,Tumbes,Inn,2022/11/9,PER,Tumbes,Central,12,20,3,PEN,-,,
Bus,2022/11/9,PER,Tumbes,Central,2022/11/9,PER,Máncora,Central,106,140,25,PEN,-,,
Tuktuk,2022/11/9,PER,Máncora,Central,2022/11/9,PER,Máncora,Inn,2,15,10,PEN,-,,
Tuktuk,2022/11/10,PER,Máncora,Inn,2022/11/10,PER,Máncora,Central,2,15,15,PEN,-,,
Bus,2022/11/10,PER,Máncora,Central,2022/11/10,PER,Piura,Terminal,181,200,25,PEN,-,,
Taxi,2022/11/10,PER,Piura,Terminal,2022/11/10,PER,Piura,Central,2,5,8,PEN,-,,
Bus,2022/11/11,PER,Piura,Central,2022/11/11,PER,Piura,Terminal,2,5,1.5,PEN,-,,
Bus,2022/11/11,PER,Piura,Terminal,2022/11/11,PER,Chiclayo,Terminal,215,210,25,PEN,-,,
Taxi,2022/11/11,PER,Chiclayo,Terminal,2022/11/11,PER,Chiclayo,Inn,1.3,5,10,PEN,-,,
Taxi,2022/11/12,PER,Chiclayo,Inn,2022/11/12,PER,Chiclayo,Terminal,1.3,5,8,PEN,-,,
Bus,2022/11/12,PER,Chiclayo,Terminal,2022/11/12,PER,Cajamarca,Terminal,253,390,35,PEN,-,,
Bus,2022/11/12,PER,Cajamarca,Terminal,2022/11/12,PER,Cajamarca,Inn,2,5,6,PEN,-,,
Bus,2022/11/13,PER,Cajamarca,Central,2022/11/13,PER,Cajamarca,Suberb,6.2,15,2,PEN,Hot spring,,
Bus,2022/11/13,PER,Cajamarca,Suberb,2022/11/13,PER,Cajamarca,Central,6.2,15,2,PEN,-,,
Bus,2022/11/14,PER,Cajamarca,Terminal,2022/11/14,PER,Trujillo,Terminal,295,420,40,PEN,-,,
Taxi,2022/11/14,PER,Trujillo,Terminal,2022/11/14,PER,Trujillo,Inn,2.5,10,8,PEN,-,,
Bus,2022/11/15,PER,Trujillo,Inn,2022/11/15,PER,Trujillo,Heritage,7.3,25,0,PEN,Sun And Moon Waka,,
Bus,2022/11/15,PER,Trujillo,Heritage,2022/11/15,PER,Trujillo,Central,7.3,25,0,PEN,-,,
Bus,2022/11/15,PER,Trujillo,Central,2022/11/15,PER,Trujillo,Heritage,6.2,20,0,PEN,ChanChan,,
Bus,2022/11/15,PER,Trujillo,Heritage,2022/11/15,PER,Trujillo,Beach,10.3,25,0,PEN,WanChaco,,
